;Climate and Atmosphere;Pest Management;Maintain Biodiversity;Maintain Integrity of Ecological Processes;Maintain Soil Health;Natural Assimilation & Purification;Landscape Change Processes;Water Quality & Supply;Scientific Research ;Customary Use;Economic Drivers;Economic Inputs;Income Tax and GST;Labour Market;Primary Industries;Property Valuation;Secondary Industry;Tertiary Sector;Family and Community Wellbeing;Human Health;Participation in Economic Life;Population Dynamics;Public Life Governance;Community Services;Tourism, Leisure, Recreation, Sport;Governance of Social Institutions ;Policy, plans, rules, legislation ;Non-Local Influences 
Climate and Atmosphere;2;3;3;3;4;3;3;4;3;2;2;2;2;2;4;3;2;2;3;3;2;3;2;2;4;1;2;1
Pest Management;0;3;4;3;3;2;3;3;2;2;2;3;2;1;3;3;2;1;2;3;2;2;1;1;2;2;3;2
Biodiversity;2;2;2;4;3;2;3;3;3;3;2;2;2;2;3;3;2;2;2;2;2;2;2;1;3;2;3;2
Integrity of Ecological Processes;3;2;3;3;4;3;2;4;3;3;2;2;1;1;3;2;2;2;3;3;2;2;2;1;3;2;3;2
Soil Health;2;2;3;3;3;3;3;4;3;2;2;2;1;2;4;3;2;1;3;3;2;2;1;2;2;1;3;2
Natural Assimilation & Purification;4;2;3;3;4;2;2;3;2;2;1;1;1;1;2;2;2;1;2;3;1;1;1;1;2;1;3;2
Landscape Change Processes;2;2;2;2;3;2;2;2;2;2;2;2;1;1;2;3;2;2;1;1;2;2;1;2;2;1;3;2
Water Quality & Supply;3;1;3;4;3;3;2;3;3;3;3;3;2;3;4;4;4;2;3;3;2;2;2;2;3;2;3;2
Scientific Research ;2;4;3;3;3;2;2;3;2;1;1;3;1;2;4;3;4;3;2;3;1;1;1;2;2;2;4;2
Customary Use;0;1;2;2;1;2;2;2;3;3;1;1;0;1;1;1;2;2;2;2;2;1;2;1;2;1;2;1
Economic Drivers;2;2;2;2;2;1;1;2;2;1;3;3;3;3;3;3;3;2;2;2;2;2;2;2;3;2;2;3
Economic Inputs;2;2;2;2;3;1;3;3;2;2;3;2;3;3;4;4;4;3;3;2;3;3;3;3;3;2;2;2
Income Tax and GST;1;2;1;1;1;1;1;1;2;1;3;3;1;3;4;2;3;3;3;2;2;2;2;3;2;3;3;2
Labour Market;1;2;2;1;1;1;1;1;1;1;2;3;3;2;4;2;3;3;3;2;3;3;2;3;3;2;3;1
Primary Industries;3;4;4;3;4;3;3;4;4;2;2;4;3;3;2;4;4;3;4;2;3;3;3;3;3;2;3;2
Property Valuation;1;2;2;1;1;1;2;2;1;1;2;2;2;2;3;2;2;3;3;2;3;2;2;2;2;2;3;2
Secondary Industry;2;1;2;2;2;2;2;3;3;1;2;3;3;4;3;3;2;3;3;3;3;3;3;3;3;2;3;2
Tertiary Sector;1;1;1;1;1;0;1;2;2;1;1;2;2;3;3;2;3;2;3;4;2;3;2;3;3;2;2;2
Family and Community Wellbeing;1;2;2;2;2;2;2;3;2;1;2;3;2;3;3;2;3;2;2;4;3;3;2;3;3;2;3;2
Human Health;1;2;2;2;1;1;2;2;2;1;1;2;2;3;3;2;3;3;4;3;3;3;2;3;2;2;2;1
Participation in Economic Life;1;1;2;2;1;1;2;2;2;2;2;3;3;4;3;2;3;3;3;3;2;4;3;3;2;2;3;2
Population Dynamics;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;3;3;3;4;3;3;2;3;3;3;2;2;2
Public Life Governance;2;3;3;2;2;2;2;3;2;1;2;2;2;3;3;3;3;3;3;4;3;3;2;3;3;3;3;2
Community Services;1;1;1;1;1;1;1;1;1;1;1;2;2;3;3;2;2;3;3;4;3;3;3;3;3;3;3;1
Tourism, Leisure, Recreation, Sport;1;2;2;2;1;1;2;3;1;1;2;2;3;3;3;3;2;3;3;3;3;3;2;3;2;2;3;2
Governance of Social Institutions ;2;3;3;4;2;3;3;4;3;2;2;3;2;3;3;3;3;3;3;3;3;3;4;3;2;3;4;2
Policy;3;4;3;3;3;3;3;4;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2
Non-Local Influences ;2;3;3;2;2;2;2;2;2;1;3;3;3;3;4;3;3;3;3;3;2;3;2;3;3;3;3;3